LEMME;FLEXION
accastilleur;accastilleuse
accompagnateur;accompagnatrice
acconier;acconière
accordeur;accordeuse
accouveur;accouveuse
accrocheur;accrocheuse
accueillant;accueillante
acheteur;acheteuse
acousticien;acousticienne
acteur;actrice
acuponctrice;acuponcteur
acupunctrice;acupuncteur
adaptateur;adaptatrice
administrateur;administratrice
afficheur;afficheuse
affineur;affineuse
affranchisseur;affranchisseuse
affréteur;affréteuse
affûteur;affûteuse
agenceur;agenceuse
agencier;agencière
agent;agente
agrafeur;agrafeuse
agrandisseur;agrandisseuse
agriculteur;agricultrice
agréeur;agréeuse
aiguilleteur;aiguilleteuse
aiguilleur;aiguilleuse
ajusteur;ajusteuse
algoculteur;algocultrice
aléseur;aléseuse
ambassadeur;ambassadrice
ambulancier;ambulancière
aménageur;aménageuse
analyseur;analyseuse
anier;anière
animateur;animatrice
anodiseur;anodiseuse
apiculteur;apicultrice
apiéceur;apiéceuse
appareilleur;appareilleuse
applicateur;applicatrice
approvisionneur;approvisionneuse
apprêteur;apprêteuse
appéreur;appéreuse
aquaculteur;aquacultrice
arboriculteur;arboricultrice
archetier;archetière
architecteur;architecteure
ardoisier;ardoisière
argenteur;argenteuse
armaturier;armaturière
armurier;armurière
aromaticien;aromaticienne
arpenteur;arpenteuse
arrangeur;arrangeuse
artificier;artificière
asphalteur;asphalteuse
aspigiculteur;aspigicultrice
assembleur;assembleuse
assistant;assistante
assureur;assureuse
astaciculteur;astacicultrice
astrophysicien;astrophysicienne
atrier;atrière
attacheur;attacheuse
attaché;attachée
auditeur;auditrice
auteur;autrice
auteur;auteure
automaticien;automaticienne
autorisateur;autorisatrice
aviculteur;avicultrice
aviveur;aviveuse
avocat;avocate
avoué;avouée
aérodynamicien;aérodynamicienne
baigneur;baigneuse
balancier;balancière
bancheur;bancheuse
banderillo;banderilla
barbier;barbière
bardeur;bardeuse
barman;barmaid
batelier;batelière
batteur;batteuse
berger;bergère
betteravier;betteravière
bichonneur;bichonneuse
bijoutier;bijoutière
bioinformaticien;bioinformaticienne
biophysicien;biophysicienne
biostatisticien;biostatisticienne
biscuitier;biscuitière
blanchisseur;blanchisseuse
bobineur;bobineuse
bobinier;bobinière
boiseur;boiseuse
boisselier;boisselière
bonnetier;bonnetière
booker;bookeuse
bordeur;bordeuse
borneur;borneuse
botteur;botteuse
bottier;bottière
boucher;bouchère
boulanger;boulangère
bourrelier;bourrelière
bourreur;bourreuse
bouvier;bouvière
boxeur;boxeuse
boyaudier;boyaudière
brancardier;brancardière
braseur;braseuse
brasqueur;brasqueuse
brasseur;brasseuse
brigadier;brigadière
briqueteur;briqueteuse
brocanteur;brocanteuse
brocheur;brocheuse
brodeur;brodeuse
bronzier;bronzière
bruiteur;bruiteuse
bulbiculteur;bulbicultrice
bâtisseur;bâtisseuse
bâtonnier;bâtonnière
bétonneur;bétonneuse
bétonnier;bétonnière
bûcheron;bûcheronne
cadmieur;cadmieuse
cadreur;cadreuse
cafetier;cafetière
caissier;caissière
calandreur;calandreuse
calculateur;calculatrice
calibreur;calibreuse
calorifugeur;calorifugeuse
cameraman;camerawoman
camionneur;camionneuse
canalisateur;canalisatrice
canneteur;canneteuse
canneur;canneuse
cantonnier;cantonnière
caoutchouteur;caoutchoutrice
cardeur;cardeuse
carotteur;carotteuse
carreleur;carreleuse
carrossier;carrossière
cartonnier;cartonnière
caréneur;caréneuse
cascadeur;cascadeuse
casquettier;casquettière
casseur;casseuse
catcheur;catcheuse
cavalier;cavalière
ceinturier;ceinturière
chagrineur;chagrineuse
chaisier;chaisière
chansonnier;chansonnière
chantourneur;chantourneuse
chapelier;chapelière
charbonnier;charbonnière
charcutier;charcutière
charpentier;charpentière
chasseur;chasseuse
chaudronnier;chaudronnière
chauffeur;chauffeuse
chef;cheffe
chercheur;chercheuse
chevrier;chevrière
chiropracteur;chiropractrice
chiropraticien;chiropraticienne
chirurgien;chirurgienne
chloriteur;chloriteuse
chocolatier;chocolatière
choisisseur;choisisseuse
chromeur;chromeuse
chroniqueur;chroniqueuse
chronométreur;chronométreuse
cidrier;cidrière
cimentier;cimentière
cintrier;cintrière
cisailleur;cisailleuse
ciseleur;ciseleuse
claqueur;claqueuse
classeur;classeuse
clicheur;clicheuse
clinicien;clinicienne
cloueur;cloueuse
clétier;clétière
client;cliente
cocher;cochère
coffreur;coffreuse
cogniticien;cogniticienne
coiffeur;coiffeuse
collaborateur;collaboratrice
collecteur;collectrice
colleteur;colleteuse
colleur;colleuse
colporteur;colporteuse
combattant;combattante
commandant;commandante
commis;commise
compagnon;compagnonne
compograveur;compograveuse
composeur;composeuse
compositeur;compositrice
comédien;comédienne
concepteur;conceptrice
conchyliculteur;conchylicultrice
conciliateur;conciliatrice
conditionneur;conditionneuse
conducteur;conductrice
confectionneur;confectionneuse
confiseur;confiseuse
confiturier;confiturière
conférencier;conférencière
conseiller;conseillère
conservateur;conservatrice
constructeur;constructrice
consul;consule
consultant;consultante
conteur;conteuse
contractuel;contractuelle
contrecolleur;contrecolleuse
contremaître;contremaîtresse
contrôleur;contrôleuse
convoyeur;convoyeuse
coquilleur;coquilleuse
corailleur;corailleuse
cordonnier;cordonnière
correcteur;correctrice
correspondant;correspondante
corroyeur;corroyeuse
corsetier;corsetière
cosméticien;cosméticienne
costumier;costumière
coturniculteur;coturnicultrice
coupeur;coupeuse
coursier;coursière
courtier;courtière
couseur;couseuse
coutelier;coutelière
couturier;couturière
couvreur;couvreuse
cressiculteur;cressicultrice
croupier;croupière
crustaciculteur;crustacicultrice
créateur;créatrice
crémier;crémière
crépisseur;crépisseuse
crêpier;crêpière
cubilotier;cubilotière
cueilleur;cueilleuse
cuiseur;cuiseuse
cuisinier;cuisinière
cuivreur;cuivreuse
culottier;culottière
cultivateur;cultivatrice
curateur;curatrice
cyndinicien;cyndinicienne
cyniculteur;cynicultrice
câbleur;câbleuse
cémenteur;cémenteuse
dactylocodeur;dactylocodeuse
danseur;danseuse
denteleur;denteleuse
dentellier;dentellière
designer;designeuse
dessinateur;dessinatrice
diagnostiqueur;diagnostiqueuse
didacticien;didacticienne
dinandier;dinandière
dirigeant;dirigeante
dispatcher;dispatcheuse
distributeur;distributrice
diététicien;diététicienne
doleur;doleuse
domoticien;domoticienne
dompteur;dompteuse
doreur;doreuse
doubleur;doubleuse
doucheur;doucheuse
doucier;doucière
drapeur;drapeuse
dresseur;dresseuse
débardeur;débardeuse
débordeur;débordeuse
débosseleur;débosseleuse
déboyaudeur;déboyaudeuse
décapeur;décapeuse
déchargeur;déchargeuse
décocheur;décocheuse
décolleteur;décolleteuse
décompteur;décompteuse
décontamineur;décontamineuse
décorateur;décoratrice
décortiqueur;décortiqueuse
découpeur;découpeuse
dédoubleur;dédoubleuse
défloqueur;défloqueuse
dégauchisseur;dégauchisseuse
dégraisseur;dégraisseuse
dégustateur;dégustatrice
délaineur;délaineuse
déligneur;déligneuse
délégué;déléguée
démarcheur;démarcheuse
démineur;démineuse
démolisseur;démolisseuse
démonstrateur;démonstratrice
démonteur;démonteuse
déménageur;déménageuse
dépanneur;dépanneuse
dépolisseur;dépolisseuse
dépouilleur;dépouilleuse
dératiseur;dératiseuse
dérayeur;dérayeuse
dérusheur;dérusheuse
désamianteur;désamianteuse
désinfecteur;désinfectrice
désinsectisateur;désinsectisatrice
désosseur;désosseuse
détacheur;détacheuse
détaillant;détaillante
détecteur;détectrice
développeur;développeuse
emballeur;emballeuse
embaumeur;embaumeuse
embouteilleur;embouteilleuse
emboutisseur;emboutisseuse
emboîteur;emboîteuse
employé;employée
encadrant;encadrante
encadreur;encadreuse
encolleur;encolleuse
endivier;endivière
enducteur;enductrice
enduiseur;enduiseuse
engraisseur;engraisseuse
enquêteur;enquêtrice
enrouleur;enrouleuse
enseignant;enseignante
ensemblier;ensemblière
entraîneur;entraîneuse
entremettier;entremettière
entrepreneur;entrepreneuse
envoyé;envoyée
escaliéteur;escaliéteuse
esquisseur;esquisseuse
essayeur;essayeuse
essuyeur;essuyeuse
estampeur;estampeuse
esthéticien;esthéticienne
expert;experte
exploitant;exploitante
expéditeur;expéditrice
expérimentateur;expérimentatrice
extirpeur;extirpeuse
extracteur;extractrice
extrudeur;extrudeuse
exécutif;exécutive
fabricant;fabricante
facadier;facadière
faconneur;faconneuse
faconnier;faconnière
facteur;factrice
facturier;facturière
faïencier;faïencière
fendeur;fendeuse
ferblantier;ferblantière
ferrailleur;ferrailleuse
ferreur;ferreuse
ferronnier;ferronnière
feutier;feutière
feutrier;feutrière
figurant;figurante
fileteur;fileteuse
fileur;fileuse
filmeur;filmeuse
filtreur;filtreuse
finisseur;finisseuse
flaconneur;flaconneuse
flasheur;flasheuse
floriculteur;floricultrice
fondeur;fondeuse
fontainier;fontainière
foreur;foreuse
forgeron;forgeronne
formateur;formatrice
formeur;formeuse
formulateur;formulatrice
fossoyeur;fossoyeuse
foudrier;foudrière
fourreur;fourreuse
fraiseur;fraiseuse
frappeur;frappeuse
fripier;fripière
fruiticulteur;fruiticultrice
fusilier;fusilière
fustier;fustière
féliniculteur;félinicultrice
gainier;gainière
galvaniseur;galvaniseuse
gantier;gantière
gardien;gardienne
gareur;gareuse
garnisseur;garnisseuse
gaufreur;gaufreuse
gaveur;gaveuse
gazier;gazière
giletier;giletière
glacier;glacière
glypticien;glypticienne
gouacheur;gouacheuse
gouvernant;gouvernante
gouverneur;gouverneure
goémonier;goémonière
gradeur;gradeuse
gradueur;gradueuse
graisseur;graisseuse
gravatier;gravatière
graveur;graveuse
greffier;greffière
grenadier;grenadière
grenailleur;grenailleuse
grignoteur;grignoteuse
grillardin;grillardine
grimpeur;grimpeuse
groupman;groupwoman
grutier;grutière
gréeur;gréeuse
guetteur;guetteuse
guichetier;guichetière
guideur;guideuse
guillocheur;guillocheuse
guillotineur;guillotineuse
gutteur;gutteuse
gypsier;gypsière
généticien;généticienne
géodésien;géodésienne
géomaticien;géomaticienne
géophysicien;géophysicienne
géotechnicien;géotechnicienne
géothermicien;géothermicienne
gérant;gérante
habilleur;habilleuse
harnacheur;harnacheuse
hauturier;hauturière
historien;historienne
hockeyeur;hockeyeuse
homologateur;homologatrice
horloger;horlogère
horticulteur;horticultrice
hôte;hôtesse
hydraulicien;hydraulicienne
hydrothermal;hydrothermale
héliciculteur;hélicicultrice
illustrateur;illustratrice
imitateur;imitatrice
implanteur;implanteuse
imprimeur;imprimeuse
imprégnateur;imprégnatrice
incorporateur;incorporatrice
incrustateur;incrustatrice
indemnisateur;indemnisatrice
infirmier;infirmière
ingénieur;ingénieure
initiateur;initiatrice
injecteur;injecteuse
installateur;installatrice
instituteur;institutrice
instructeur;instructrice
intendant;intendante
intercepteur;interceptrice
interprétateur;interprétatrice
intervenant;intervenante
intégrateur;intégratrice
jardinier;jardinière
joaillier;joaillière
jointeur;jointeuse
jongleur;jongleuse
joueur;joueuse
kiosquier;kiosquière
kiwiculteur;kiwicultrice
képissier;képissière
laborantin;laborantine
lamaneur;lamaneuse
lamineur;lamineuse
lanceur;lanceuse
laqueur;laqueuse
lauzier;lauzière
lavandiculteur;lavandicultrice
laveur;laveuse
lecteur;lectrice
levageur;levageuse
libéral;libérale
licier;licière
lieutenant;lieutenante
liftier;liftière
lignard;lignarde
limonadier;limonadière
limousinant;limousinante
linger;lingère
liquidateur;liquidatrice
lissier;lissière
litier;litière
litigeur;litigeuse
livreur;livreuse
liégeur;liégeuse
localier;localière
logisticien;logisticienne
lombriculteur;lombricultrice
lotisseur;lotisseuse
loueur;loueuse
lunetier;lunetière
luthier;luthière
lutteur;lutteuse
magasinier;magasinière
magicien;magicienne
magistrat;magistrate
maintenicien;maintenicienne
malletier;malletière
malteur;malteuse
manadier;manadière
manageur;manageuse
manipulateur;manipulatrice
manoeuvrier;manoeuvrière
maquilleur;maquilleuse
marbrier;marbrière
marchandiseur;marchandiseuse
mareyeur;mareyeuse
margeur;margeuse
marinier;marinière
marketeur;marketeuse
maroquinier;maroquinière
marqueteur;marqueteuse
marqueur;marqueuse
martineur;martineuse
masseur;masseuse
massicotier;massicotière
mastiqueur;mastiqueuse
matelassier;matelassière
mateloteur;mateloteuse
mateur;mateuse
mathématicien;mathématicienne
matriceur;matriceuse
maçon;maçonne
maïeuticien;maïeuticienne
maïsiculteur;maïsicultrice
menuisier;menuisière
mercaticien;mercaticienne
messager;messagère
mesureur;mesureuse
metteur;metteuse
meuleur;meuleuse
micromécanicien;micromécanicienne
mineur;mineuse
miroitier;miroitière
missilier;missilière
mixeur;mixeuse
modeleur;modeleuse
modélisateur;modélisatrice
modérateur;modératrice
moellonneur;moellonneuse
moniteur;monitrice
monteur;monteuse
mortaiseur;mortaiseuse
motard;motarde
mouleur;mouleuse
moulinier;moulinière
moutonnier;moutonnière
musicien;musicienne
mytiliculteur;mytilicultrice
mécanicien;mécanicienne
mécanotricien;mécanotricienne
mécatronicien;mécatronicienne
médailleur;médailleuse
médiateur;médiatrice
mégissier;mégissière
métallier;métallière
métalliseur;métalliseuse
métreur;métreuse
nacreur;nacreuse
nacrier;nacrière
nageur;nageuse
naisseur;naisseuse
nappeur;nappeuse
navigateur;navigatrice
nettoyeur;nettoyeuse
neurochirurgien;neurochirurgienne
nickeleur;nickeleuse
nitrureur;nitrureuse
nivoculteur;nivocultrice
notateur;notatrice
noueur;noueuse
noyauteur;noyauteuse
négociant;négociante
négociateur;négociatrice
observateur;observatrice
obstétricien;obstétricienne
officier;officière
oléiculteur;oléicultrice
omnipraticien;omnipraticienne
opticien;opticienne
optimisateur;optimisatrice
optronicien;optronicienne
opérateur;opératrice
orchestrateur;orchestratrice
ordonnanceur;ordonnanceuse
ordonnateur;ordonnatrice
organisateur;organisatrice
orpailleur;orpailleuse
osiériculteur;osiéricultrice
ostréiculteur;ostréicultrice
ouatineur;ouatineuse
ourdisseur;ourdisseuse
ourleur;ourleuse
oursinier;oursinière
outilleur;outilleuse
ouvreur;ouvreuse
oxycoupeur;oxycoupeuse
palefrenier;palefrenière
palettiseur;palettiseuse
palissonneur;palissonneuse
paludier;paludière
panseur;panseuse
paracheveur;paracheveuse
paramétreur;paramétreuse
pareur;pareuse
parfumeur;parfumeuse
parolier;parolière
parpineur;parpineuse
parqueteur;parqueteuse
parurier;parurière
passementier;passementière
passeur;passeuse
pasteurisateur;pasteurisatrice
patineur;patineuse
patron;patronne
patronnier;patronnière
patrouilleur;patrouilleuse
paveur;paveuse
payeur;payeuse
pectiniculteur;pectinicultrice
peigneur;peigneuse
pendulier;pendulière
percepteur;perceptrice
perceur;perceuse
perchman;perchwoman
performeur;performeuse
permanencier;permanencière
perruquier;perruquière
peseur;peseuse
pharmacien;pharmacienne
pharmacocinéticien;pharmacocinéticienne
phosphateur;phosphateuse
photocompositeur;photocompositrice
photograveur;photograveuse
physicien;physicienne
pilonnier;pilonnière
pipier;pipière
piqueteur;piqueteuse
piqueur;piqueuse
pisciculteur;piscicultrice
piscinier;piscinière
pisteur;pisteuse
pistoleteur;pistoleteuse
pistoleur;pistoleuse
pizzaïolo;pizzaïola
placeur;placeuse
placier;placière
planificateur;planificatrice
planneur;planneuse
planteur;planteuse
plasticien;plasticienne
plastifieur;plastifieuse
plisseur;plisseuse
plombeur;plombeuse
plombier;plombière
plongeur;plongeuse
plumassier;plumassière
plumeur;plumeuse
plâtrier;plâtrière
pneumaticien;pneumaticienne
pocheur;pocheuse
poinconneur;poinconneuse
pointeur;pointeuse
poissonnier;poissonnière
policier;policière
polisseur;polisseuse
pomiculteur;pomicultrice
ponceur;ponceuse
pontier;pontière
pontonnier;pontonnière
populiculteur;populicultrice
porcher;porchère
porion;porionne
portier;portière
portiqueur;portiqueuse
poseur;poseuse
posticheur;posticheuse
potier;potière
poudreur;poudreuse
poursuiteur;poursuiteuse
pourvoyeur;pourvoyeuse
poète;poètesse
preneur;preneuse
presseur;presseuse
prestidigitateur;prestidigitatrice
producteur;productrice
professeur;professeure
profileur;profileuse
programmateur;programmatrice
programmeur;programmeuse
projeteur;projeteuse
promoteur;promotrice
prospecteur;prospectrice
proviseur;proviseure
pruniculteur;prunicultrice
précepteur;préceptrice
préfet;préfète
préleveur;préleveuse
préparateur;préparatrice
préposé;préposée
présentateur;présentatrice
président;présidente
préventeur;préventrice
psychomotricien;psychomotricienne
psychorééducateur;psychorééducatrice
psychotechnicien;psychotechnicienne
puisatier;puisatière
pulpeur;pulpeuse
pupitreur;pupitreuse
puériculteur;puéricultrice
pyrotechnicien;pyrotechnicienne
pâtissier;pâtissière
péager;péagère
pétrisseur;pétrisseuse
qualiticien;qualiticienne
quanticien;quanticienne
quincaillier;quincaillière
raccommodeur;raccommodeuse
raccordeur;raccordeuse
raccoutreur;raccoutreuse
radialeur;radialeuse
radiophysicien;radiophysicienne
raffineur;raffineuse
ragréeur;ragréeuse
ramasseur;ramasseuse
ramendeur;ramendeuse
ramoneur;ramoneuse
randonneur;randonneuse
raniculteur;ranicultrice
raseur;raseuse
rattacheur;rattacheuse
ravaleur;ravaleuse
raviveur;raviveuse
rayonneur;rayonneuse
rebobineur;rebobineuse
recenseur;recenseuse
receveur;receveuse
recouvreur;recouvreuse
rectifieur;rectifieuse
recuiseur;recuiseuse
recycleur;recycleuse
refendeur;refendeuse
regarnisseur;regarnisseuse
releveur;releveuse
relieur;relieuse
remailleur;remailleuse
rembordeur;rembordeuse
remmouleur;remmouleuse
remonteur;remonteuse
rempailleur;rempailleuse
rentrayeur;rentrayeuse
rentreur;rentreuse
repasseur;repasseuse
repiqueur;repiqueuse
reporter;reportrice
repousseur;repousseuse
représentant;représentante
ressortier;ressortière
ressourcier;ressourcière
restaurateur;restauratrice
restituteur;restitutrice
retailleur;retailleuse
retordeur;retordeuse
retoucheur;retoucheuse
rewriter;rewriteuse
rhabilleur;rhabilleuse
rhodieur;rhodieuse
ripeur;ripeuse
rippeur;rippeuse
riziculteur;rizicultrice
roboticien;roboticienne
rogneur;rogneuse
romancier;romancière
rompeur;rompeuse
rondier;rondière
rotinier;rotinière
roughman;roughwoman
rubanier;rubanière
réalisateur;réalisatrice
réchauffeur;réchauffeuse
récupérateur;récupératrice
réenrouleur;réenrouleuse
référenceur;référenceuse
référent;référente
régaleur;régaleuse
régisseur;régisseuse
régleur;régleuse
répandeur;répandeuse
réparateur;réparatrice
répartiteur;répartitrice
répétiteur;répétitrice
réunisseur;réunisseuse
réviseur;réviseuse
rééducateur;rééducatrice
rôtisseur;rôtisseuse
sableur;sableuse
sabotier;sabotière
sacrificateur;sacrificatrice
saigneur;saigneuse
saisisseur;saisisseuse
salaisonnier;salaisonnière
saliculteur;salicultrice
salinier;salinière
salmoniculteur;salmonicultrice
sanforiseur;sanforiseuse
santonnier;santonnière
sapeur;sapeuse
satineur;satineuse
saucier;saucière
saunier;saunière
sauveteur;sauveteuse
scanneur;scanneuse
scaphandrier;scaphandrière
scieur;scieuse
sculpteur;sculptrice
second;seconde
semencier;semencière
sensoriel;sensorielle
serrurier;serrurière
sertisseur;sertisseuse
servant;servante
serveur;serveuse
sexeur;sexeuse
signaleur;signaleuse
skieur;skieuse
skiman;skiwoman
soignant;soignante
soigneur;soigneuse
soldat;soldate
solier;solière
sommelier;sommelière
sondeur;sondeuse
sonorisateur;sonorisatrice
soudeur;soudeuse
soudobraseur;soudobraseuse
souffleur;souffleuse
souscripteur;souscriptrice
stadier;stadière
staffeur;staffeuse
statisticien;statisticienne
stratifieur;stratifieuse
stucateur;stucateuse
stérilisateur;stérilisatrice
substitut;substitute
superviseur;superviseuse
surfileur;surfileuse
surintendant;surintendante
surveillant;surveillante
sushiman;sushiwoman
sylviculteur;sylvicultrice
sécheur;sécheuse
sélectionneur;sélectionneuse
sériciculteur;séricicultrice
tabaculteur;tabacultrice
tabletier;tabletière
tailleur;tailleuse
talonneur;talonneuse
tanneur;tanneuse
tapissier;tapissière
tatoueur;tatoueuse
taupier;taupière
taxateur;taxatrice
techniverrier;techniverrière
teinturier;teinturière
tendanceur;tendanceuse
terrassier;terrassière
testeur;testeuse
textureur;textureuse
thanatopracteur;thanatopractrice
thermicien;thermicienne
thermocolleur;thermocolleuse
thermoformeur;thermoformeuse
timbalier;timbalière
timonier;timonière
tireur;tireuse
tisserand;tisserande
tisseur;tisseuse
toiletteur;toiletteuse
tondeur;tondeuse
tonnelier;tonnelière
torréfacteur;torréfactrice
toréro;toréra
toupilleur;toupilleuse
tourier;tourière
tourneur;tourneuse
traceur;traceuse
traducteur;traductrice
transcripteur;transcriptrice
transformateur;transformatrice
transmetteur;transmettrice
trempeur;trempeuse
tricoteur;tricoteuse
trieur;trieuse
tripier;tripière
tronconneur;tronçonneuse
truiticulteur;truiticultrice
tréfileur;tréfileuse
trésorier;trésorière
tuilier;tuilière
turbinier;turbinière
tuteur;tutrice
tuyauteur;tuyauteuse
téléacteur;téléactrice
téléconseiller;téléconseillère
téléopérateur;téléopératrice
téléprospecteur;téléprospectrice
télévendeur;télévendeuse
tôlier;tôlière
usineur;usineuse
vacher;vachère
vannier;vannière
veilleur;veilleuse
velouteur;velouteuse
vendangeur;vendangeuse
vendeur;vendeuse
vernisseur;vernisseuse
verreur;verreuse
vidangeur;vidangeuse
viennoisier;viennoisière
villier;villière
visiteur;visiteuse
viticulteur;viticultrice
vitrier;vitrière
voiturier;voiturière
volailler;volaillère
voltigeur;voltigeuse
vulcaniseur;vulcaniseuse
vénériculteur;vénéricultrice
vérificateur;vérificatrice
wappeur;wappeuse
wheeleur;wheeleuse
zingueur;zingueuse
zootechnicien;zootechnicienne
ébaucheur;ébaucheuse
ébavureur;ébavureuse
éboueur;éboueuse
écailler;écaillère
écailleur;écailleuse
échafaudeur;échafaudeuse
échantillonneur;échantillonneuse
écharneur;écharneuse
échassier;échassière
échiniculteur;échinicultrice
éclusier;éclusière
écorceur;écorceuse
écoutant;écoutante
écrivain;écrivaine
écrouteur;écrouteuse
écuyer;écuyère
éditeur;éditrice
éducateur;éducatrice
égoutier;égoutière
éhouppeur;éhouppeuse
élagueur;élagueuse
élastiqueur;élastiqueuse
électricien;électricienne
électrobobinier;électrobobinière
électromécanicien;électromécanicienne
électronicien;électronicienne
électrotechnicien;électrotechnicienne
éleveur;éleveuse
élingueur;élingueuse
émailleur;émailleuse
énergéticien;énergéticienne
épicier;épicière
éplucheur;éplucheuse
équipier;équipière
érodeur;érodeuse
étainier;étainière
étalonneur;étalonneuse
étameur;étameuse
étampeur;étampeuse
étancheur;étancheuse
étiqueteur;étiqueteuse
étireur;étireuse
évaluateur;évaluatrice
éviscérateur;éviscératrice
